Latitude,Longitude,Building,Average Area RSSI,Average Area SNR,Elevation (ft),Number of Buildings (B)
42.087478,-75.967872,EB,-77.75,9.25,961.3,0
42.087478,-75.967872,EB,-77.75,9.25,961.3,1
42.088092,-75.968496,Tech Hub,-82,9.5,961.3,1
42.087995,-75.969369,Bartle Library,-99.16666667,0.3333333333,988.5,1
42.088456,-75.96985,Library Tower,-72.92857143,7.642857143,988.5,2
42.089551,-75.969992,Science Library,-85.25,0.5,933,2
42.090961,-75.969599,Lot C,,,904,3
42.090329,-75.96917,Anderson (Near Science Library),,,912,4
42.089485,-75.968638,Anderson (Near Art Building),-99,-10.75,927,1
42.088631,-75.968052,Fine Art,-87.71428571,6.285714286,951,1
42.089179,-75.966916,Lot AD,-64,9.333333333,929.9,1
42.089708,-75.967197,Lot A,-63,9.666666667,930.8,1
42.090172,-75.967363,Parking Garage,,,913,2
42.089935,-75.966303,University Police,-78.33333333,4.333333333,915.6,2
42.088964,-75.965789,Lot B,-80.5,5,926,1
42.088877,-75.964581,Old Digman Hall,-78.33333333,9,950,2
42.088212,-75.963845,Whitney Hall,-73.66666667,9,943,3
42.088616,-75.962138,Broome Hall,-91.4,5,943,4
42.089132,-75.962696,Bingham Hall,-89.25,7.5,935,3
42.087954,-75.96327,C4,-66,10,956,0
42.08846,-75.974472,Lot M5,-86.33333333,4.666666667,981,2
42.092326,-75.972001,Event Center,-80.66666667,7,925,2
42.092022,-75.968328,Traffic Circle,-84,4,887.2,2
42.090373,-75.96244,Lot S2,,,808.5,3
42.085517,-75.964436,Harpur's Ferry,-91.33333333,2.333333333,956.6,2
42.084733,-75.972638,Nature Preserve,-94,-4.888888889,1038,0
42.087387,-75.968068,Gateway,,,,