Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 13:28:52,4290656553,-86,-6.5,7,904900000,0.071936s
2024-11-24 13:28:35,4273473818,-90,11.5,7,904100000,0.071936s
2024-11-24 13:28:35,4273473818,-80,-6.2,7,904100000,0.071936s
2024-11-24 13:28:18,4256827376,-91,11.8,7,905300000,0.071936s
2024-11-24 13:28:18,4256827376,-86,-6,7,905300000,0.071936s
2024-11-24 13:28:02,4240305215,-93,11.2,7,903900000,0.071936s
2024-11-24 13:27:45,4223530110,-89,11,7,904300000,0.077056s
2024-11-24 13:27:28,4206592489,-87,13,7,904500000,0.077056s
2024-11-24 13:27:28,4206592489,-82,-2.8,7,904500000,0.077056s
2024-11-24 13:27:11,4189920094,-87,12.5,7,904700000,0.077056s
2024-11-24 13:26:54,4172691846,-87,13.2,7,904100000,0.077056s
2024-11-24 13:26:54,4172691846,-78,-2.5,7,904100000,0.077056s
2024-11-24 13:26:38,4156013851,-85,13.8,7,903900000,0.077056s
2024-11-24 13:26:38,4156013851,-80,0.8,7,903900000,0.077056s
2024-11-24 13:26:21,4139448632,-83,13.5,7,904900000,0.077056s
2024-11-24 13:26:21,4139448632,-83,-6.5,7,904900000,0.077056s
2024-11-24 13:26:04,4122512434,-84,13.5,7,904500000,0.077056s
2024-11-24 13:26:04,4122512434,-79,-3.2,7,904500000,0.077056s
2024-11-24 13:25:47,4105657450,-84,13.2,7,905300000,0.077056s
2024-11-24 13:25:47,4105657450,-85,-1,7,905300000,0.077056s
2024-11-24 13:25:30,4088466150,-84,13.5,7,904700000,0.082176s
2024-11-24 13:25:13,4071646645,-84,11.2,7,904300000,0.071936s
2024-11-24 13:25:13,4071646645,-78,-1.8,7,904300000,0.071936s
2024-11-24 13:24:48,4046792806,-94,10.5,7,904700000,0.077056s
2024-11-24 13:24:42,4040645202,-94,9.2,7,904300000,0.071936s
2024-11-24 13:24:25,4023777462,-94,9.5,7,905300000,0.071936s
2024-11-24 13:24:08,4006827857,-93,10.5,7,904900000,0.071936s
2024-11-24 13:23:52,3990393094,-94,9.2,7,904300000,0.071936s
2024-11-24 13:23:35,3973767788,-95,9,7,905100000,0.071936s
2024-11-24 13:23:19,3957365120,-97,8.2,7,904500000,0.071936s
2024-11-24 13:23:02,3940599296,-99,7,7,904100000,0.071936s
2024-11-24 13:22:46,3924142491,-97,8,7,905300000,0.071936s
2024-11-24 13:22:29,3907603968,-97,8.2,7,904700000,0.071936s
2024-11-24 13:22:12,3890695181,-96,9.2,7,903900000,0.071936s
2024-11-24 13:21:55,3873620450,-94,9.8,7,905100000,0.071936s
2024-11-24 13:21:38,3856542707,-94,9.5,7,904700000,0.071936s
2024-11-24 13:21:21,3839387149,-93,9.5,7,904300000,0.071936s
2024-11-24 13:21:04,3822863293,-93,10,7,905300000,0.071936s
2024-11-24 13:20:48,3806109733,-93,10.2,7,904100000,0.071936s
2024-11-24 13:20:48,3806109733,-82,-7,7,904100000,0.071936s
2024-11-24 13:20:30,3788820441,-92,10.2,7,904900000,0.071936s
2024-11-24 13:20:13,3771914111,-93,10.8,7,904500000,0.071936s
2024-11-24 13:19:56,3754852306,-93,10.8,7,903900000,0.071936s
2024-11-24 13:19:40,3738233451,-93,11,7,904500000,0.071936s
2024-11-24 13:19:23,3721753299,-93,11,7,904100000,0.071936s
2024-11-24 13:19:06,3704750809,-93,9.2,7,904300000,0.071936s
2024-11-24 13:19:06,3704750809,-84,-6.5,7,904300000,0.071936s
2024-11-24 13:18:50,3688193407,-93,10.2,7,905300000,0.071936s
2024-11-24 13:18:33,3671269995,-95,10.2,7,903900000,0.071936s
2024-11-24 13:18:33,3671269995,-84,-5,7,903900000,0.071936s
2024-11-24 13:18:16,3654408020,-89,12,7,905100000,0.071936s
2024-11-24 13:07:03,2981260814,-98,8.5,7,903900000,0.071936s
2024-11-24 13:06:46,2963981719,-97,7.8,7,904300000,0.071936s
2024-11-24 13:06:29,2947226064,-95,9.2,7,905300000,0.071936s
2024-11-24 13:06:12,2930658763,-96,8,7,905100000,0.071936s
2024-11-24 13:05:56,2914283891,-96,8.8,7,904700000,0.071936s
2024-11-24 13:05:39,2897233936,-98,8.2,7,904100000,0.071936s
2024-11-24 13:05:22,2880826161,-93,9.5,7,905300000,0.071936s
2024-11-24 13:05:06,2864123297,-97,9.2,7,903900000,0.071936s
2024-11-24 13:04:49,2847053038,-94,9.2,7,904900000,0.071936s
2024-11-24 13:04:31,2829762050,-95,9,7,904300000,0.071936s
2024-11-24 13:04:14,2812846191,-94,10.2,7,904500000,0.071936s
2024-11-24 13:03:57,2795642017,-94,9.5,7,904900000,0.071936s
2024-11-24 13:03:41,2779101987,-95,9.8,7,904100000,0.071936s
2024-11-24 13:03:24,2762265092,-94,9.8,7,905300000,0.071936s
2024-11-24 13:03:07,2744949054,-95,10.2,7,903900000,0.071936s
2024-11-24 13:02:49,2727791725,-94,10.5,7,904700000,0.071936s
2024-11-24 13:02:32,2710841478,-95,9.2,7,904300000,0.071936s
2024-11-24 13:02:16,2694424143,-95,9.2,7,905100000,0.071936s
2024-11-24 13:02:00,2677958101,-95,10,7,904500000,0.071936s
2024-11-24 13:01:43,2661296035,-95,10,7,904500000,0.071936s
2024-11-24 13:01:26,2644129742,-95,9,7,905100000,0.071936s
2024-11-24 13:01:09,2627501125,-95,8.8,7,904900000,0.071936s
2024-11-24 13:00:52,2610805383,-96,8.8,7,904100000,0.071936s
2024-11-24 13:00:35,2593788569,-95,9,7,905300000,0.071936s
2024-11-24 13:00:19,2577368550,-96,8.2,7,904300000,0.071936s
2024-11-24 13:00:02,2560891824,-95,9.8,7,904700000,0.071936s
2024-11-24 12:59:46,2544226873,-96,9.2,7,903900000,0.071936s
2024-11-24 12:59:29,2527829547,-95,9.5,7,904700000,0.071936s
2024-11-24 12:59:13,2511041530,-95,9,7,904300000,0.071936s
2024-11-24 12:58:55,2493888355,-92,11,7,905100000,0.071936s
2024-11-24 12:58:39,2477211342,-97,8.5,7,904100000,0.071936s
2024-11-24 12:58:22,2460013479,-96,7.8,7,904900000,0.071936s
2024-11-24 12:58:05,2443009174,-98,7.5,7,905300000,0.071936s
2024-11-24 12:57:48,2426086365,-95,10,7,904500000,0.071936s
2024-11-24 12:57:30,2408857086,-98,8.2,7,903900000,0.071936s
2024-11-24 12:57:14,2392363194,-95,9,7,904900000,0.071936s
2024-11-24 12:57:14,2392363194,-89,-7.8,7,904900000,0.071936s
2024-11-24 12:56:57,2375787119,-94,9,7,904300000,0.071936s
2024-11-24 12:56:41,2359259466,-94,9.2,7,905100000,0.071936s
2024-11-24 12:56:24,2342478631,-92,11.2,7,903900000,0.071936s
2024-11-24 12:56:07,2325731719,-92,11.2,7,904100000,0.071936s
2024-11-24 12:55:50,2308418571,-95,10,7,904500000,0.071936s
2024-11-24 12:55:34,2291989770,-93,9.2,7,904700000,0.071936s
2024-11-24 12:55:16,2274862703,-93,9.8,7,905300000,0.071936s
2024-11-24 12:54:59,2257698847,-95,9.8,7,904700000,0.071936s
2024-11-24 12:54:42,2240743562,-96,9.5,7,903900000,0.071936s
2024-11-24 12:54:25,2223627255,-93,9.5,7,904300000,0.071936s
2024-11-24 12:54:08,2206900098,-93,10.5,7,905300000,0.071936s
2024-11-24 12:53:51,2189649598,-97,8.8,7,904100000,0.071936s
2024-11-24 12:53:34,2172640285,-93,10,7,905100000,0.071936s
2024-11-24 12:53:17,2155542354,-92,10.8,7,904900000,0.071936s
2024-11-24 12:53:00,2138244567,-92,10.2,7,904500000,0.071936s
2024-11-24 12:52:43,2120998986,-92,11.2,7,904100000,0.071936s
2024-11-24 12:52:26,2104591272,-93,10.8,7,904700000,0.071936s
2024-11-24 12:52:10,2087951947,-93,9.5,7,904300000,0.071936s
2024-11-24 12:51:52,2070661964,-93,10.2,7,903900000,0.077056s
2024-11-24 12:51:35,2053501753,-89,13,7,904500000,0.071936s
2024-11-24 12:51:18,2036556590,-93,10.8,7,904900000,0.071936s
2024-11-24 12:51:01,2019286888,-91,11.2,7,905100000,0.071936s
2024-11-24 12:50:44,2002515015,-94,10.2,7,905300000,0.071936s
2024-11-24 12:50:27,1985806633,-93,11.8,7,903900000,0.071936s
2024-11-24 12:50:11,1969059944,-94,10.2,7,904500000,0.071936s
2024-11-24 12:49:54,1952703547,-95,10,7,904100000,0.071936s
2024-11-24 12:49:37,1935904425,-93,10.5,7,905100000,0.071936s
2024-11-24 12:49:20,1918874861,-93,11,7,905300000,0.071936s
2024-11-24 12:49:03,1901781679,-91,11.5,7,904700000,0.071936s
2024-11-24 12:48:46,1884671863,-90,11,7,904900000,0.071936s
2024-11-24 12:48:29,1867362921,-91,10.8,7,904300000,0.071936s
2024-11-24 12:48:12,1850165460,-92,11,7,905300000,0.071936s
2024-11-24 12:47:55,1833753884,-91,11.5,7,904500000,0.071936s
2024-11-24 12:47:39,1817198711,-92,11,7,904900000,0.077056s
2024-11-24 12:47:22,1800620234,-87,13,7,903900000,0.071936s
2024-11-24 12:47:05,1783833208,-94,10,7,904700000,0.077056s
2024-11-24 12:46:48,1766850233,-89,12.5,7,904100000,0.071936s
2024-11-24 12:46:31,1749766489,-90,11.8,7,905100000,0.071936s
2024-11-24 12:46:15,1733102499,-91,10.2,7,904300000,0.071936s
2024-11-24 12:45:57,1715894283,-93,11,7,903900000,0.071936s
2024-11-24 12:45:41,1699074952,-93,10.8,7,904100000,0.077056s
2024-11-24 12:45:23,1681757384,-90,12.2,7,904900000,0.071936s
2024-11-24 12:45:07,1665219237,-92,11,7,904500000,0.071936s
2024-11-24 12:45:07,1665219237,-81,-5.2,7,904500000,0.071936s
2024-11-24 12:44:50,1648084361,-91,11.2,7,905100000,0.071936s
2024-11-24 12:44:33,1631698799,-93,11.5,7,904700000,0.071936s
2024-11-24 12:44:33,1631698799,-88,-5.2,7,904700000,0.071936s
2024-11-24 12:44:16,1614770324,-93,9.8,7,904300000,0.071936s
2024-11-24 12:44:16,1614770324,-81,-6.5,7,904300000,0.071936s
2024-11-24 12:44:00,1598364872,-93,10.5,7,905300000,0.071936s
2024-11-24 12:43:43,1581170963,-93,10.5,7,905100000,0.071936s
2024-11-24 12:43:26,1564399529,-92,10.8,7,904500000,0.071936s
2024-11-24 12:43:10,1548050394,-93,10.2,7,905300000,0.071936s
2024-11-24 12:42:53,1531526259,-92,11.5,7,903900000,0.071936s
2024-11-24 12:42:37,1515038741,-92,11.5,7,904100000,0.071936s
2024-11-24 12:42:20,1498680784,-93,9.5,7,904300000,0.071936s
2024-11-24 12:42:03,1481871498,-92,10.8,7,904900000,0.071936s
2024-11-24 12:41:47,1465146348,-93,10.5,7,904700000,0.071936s
2024-11-24 12:41:29,1447916469,-94,10.2,7,903900000,0.071936s
2024-11-24 12:41:13,1430953778,-93,11.2,7,904100000,0.071936s
2024-11-24 12:40:55,1413690061,-92,10.5,7,904300000,0.071936s
2024-11-24 12:40:38,1396893790,-92,11,7,905300000,0.077056s
2024-11-24 12:40:22,1380261709,-88,12.2,7,905100000,0.071936s
2024-11-24 12:40:05,1363135695,-96,10,7,904500000,0.071936s
2024-11-24 12:39:48,1346238729,-92,10.8,7,904900000,0.071936s
2024-11-24 12:39:31,1329154380,-97,8.2,7,904700000,0.071936s
2024-11-24 12:39:14,1312565515,-94,10,7,904700000,0.071936s
2024-11-24 12:39:14,1312565515,-89,-7.2,7,904700000,0.071936s
2024-11-24 12:38:57,1295925471,-99,6.8,7,904900000,0.071936s
2024-11-24 12:38:40,1278735939,-104,-1,7,904100000,0.071936s
2024-11-24 12:38:24,1262062918,-105,0.5,7,903900000,0.071936s
2024-11-24 12:38:06,1244761058,-93,10.8,7,905300000,0.071936s
2024-11-24 12:37:49,1227765650,-93,9.5,7,905100000,0.071936s
2024-11-24 12:37:32,768970248,-82,-8,7,904500000,0.071936s
2024-11-24 12:37:32,768970248,-96,9.2,7,904500000,0.071936s
2024-11-24 12:37:15,1193445884,-94,9.2,7,904300000,0.071936s
2024-11-24 12:36:58,1176834865,-97,8.2,7,904300000,0.071936s
2024-11-24 12:36:58,1176834865,-78,-8.5,7,904300000,0.071936s
2024-11-24 12:36:41,1159691957,-95,9.8,7,904700000,0.071936s
2024-11-24 12:36:41,1159691957,-86,-7.8,7,904700000,0.071936s
2024-11-24 12:36:25,1143224928,-91,11,7,904900000,0.071936s
2024-11-24 12:36:25,1143224928,-89,-4.5,7,904900000,0.071936s
2024-11-24 12:36:08,1126451813,-95,9.2,7,905100000,0.071936s
2024-11-24 12:35:51,1109725196,-96,8,7,904500000,0.071936s
2024-11-24 12:35:34,1092537383,-100,6.5,7,903900000,0.071936s
2024-11-24 12:35:17,1075207679,-96,9,7,904100000,0.071936s
2024-11-24 12:35:17,1075207679,-81,-2.5,7,904100000,0.071936s
2024-11-24 12:34:59,1057905333,-91,11.2,7,905300000,0.077056s
2024-11-24 12:34:42,1040894538,-90,12,7,904100000,0.077056s
2024-11-24 12:34:42,1040894538,-79,-4.2,7,904100000,0.077056s
2024-11-24 12:34:26,1024275880,-89,12.2,7,905100000,0.071936s
2024-11-24 12:34:09,1007424045,-91,11.5,7,904900000,0.071936s
2024-11-24 12:33:53,991058932,-91,11.5,7,905300000,0.071936s
2024-11-24 12:33:36,974651736,-92,11.5,7,904700000,0.071936s
2024-11-24 12:33:19,957395152,-97,8.8,7,903900000,0.071936s
2024-11-24 12:33:02,940352404,-94,8.5,7,904300000,0.071936s
2024-11-24 12:32:45,923146290,-94,10.2,7,904500000,0.071936s
2024-11-24 12:32:45,923146290,-81,-3.5,7,904500000,0.071936s
2024-11-24 12:32:28,906425446,-91,10.5,7,904300000,0.071936s
2024-11-24 12:32:28,906425446,-78,-7.5,7,904300000,0.071936s
2024-11-24 12:32:11,889469596,-92,10.8,7,904900000,0.071936s
2024-11-24 12:31:54,872326453,-98,8,7,904100000,0.071936s
2024-11-24 12:31:54,872326453,-79,-8,7,904100000,0.071936s
2024-11-24 12:31:37,855522181,-99,7.8,7,903900000,0.071936s
2024-11-24 12:31:20,838305542,-94,10,7,904500000,0.071936s
2024-11-24 12:31:20,838305542,-81,-4.2,7,904500000,0.071936s
2024-11-24 12:31:03,821822394,-92,11,7,905100000,0.071936s
2024-11-24 12:30:47,805432296,-94,10,7,904700000,0.071936s
2024-11-24 12:30:30,788895617,-93,11,7,905300000,0.071936s
2024-11-24 12:30:14,772279560,-93,11,7,904500000,0.071936s
2024-11-24 12:29:57,755698755,-93,11,7,904700000,0.071936s
2024-11-24 12:29:40,738591487,-93,10.5,7,904100000,0.077056s
2024-11-24 12:29:23,721385249,-89,12,7,905300000,0.077056s
2024-11-24 12:29:06,704422119,-88,12.2,7,904900000,0.071936s
2024-11-24 12:28:49,687444026,-92,10,7,904300000,0.082176s
2024-11-24 12:28:32,670384734,-89,11.8,7,905100000,0.071936s
